Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,0,Graduate,No,6583,271,205,360,0.0,Urban,Y
Female,Yes,0,Graduate,No,5246,0,45,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,3097,424,158,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,4928,2035,57,360,0.0,Semiurban,Y
Male,No,1,Graduate,No,2980,4467,145,120,1.0,Urban,Y
Male,Yes,3+,Graduate,No,2846,1130,110,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,3884,0,276,240,1.0,Urban,Y
Female,No,1,Graduate,Yes,4520,856,171,360,0.0,Semiurban,N
Male,Yes,2,Graduate,No,5037,3295,197,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,9334,490,132,300,1.0,Rural,Y
Male,Yes,3+,Graduate,No,3467,0,279,240,1.0,Semiurban,Y
Female,No,2,Graduate,Yes,5640,4341,56,360,1.0,Rural,Y
Female,Yes,3+,Not Graduate,Yes,5338,0,86,360,0.0,Rural,N
Male,Yes,0,Graduate,No,3209,1220,321,360,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,5175,0,114,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,9916,1223,40,360,0.0,Urban,N
Male,Yes,0,Graduate,No,5600,5487,354,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,5759,0,283,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,2999,0,227,300,1.0,Semiurban,Y
Male,No,0,Graduate,No,19500,587,157,360,0.0,Semiurban,Y
Male,No,0,Graduate,No,3121,6330,401,360,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,1529,2945,315,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,8974,0,375,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,4535,309,225,360,0.0,Rural,N
Male,No,2,Graduate,No,3975,0,159,180,1.0,Rural,Y
Female,Yes,0,Not Graduate,No,3354,283,116,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,Yes,18218,1547,69,300,1.0,Rural,Y
Male,Yes,3+,Graduate,Yes,6299,20986,200,360,0.0,Rural,Y
Male,No,1,Graduate,No,7221,0,210,360,0.0,Rural,N
Male,Yes,2,Graduate,Yes,5507,1501,120,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,5937,0,214,360,0.0,Rural,N
Male,Yes,3+,Not Graduate,Yes,13082,3824,121,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4123,1558,249,120,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,No,1772,0,87,180,1.0,Urban,Y
Female,Yes,1,Graduate,Yes,9023,0,78,360,1.0,Urban,Y
Female,Yes,0,Not Graduate,No,6958,0,128,360,0.0,Rural,N
Male,Yes,3+,Graduate,No,5300,0,244,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,6833,5459,74,360,1.0,Rural,Y
Female,No,1,Not Graduate,No,3791,0,278,360,1.0,Rural,N
Male,No,0,Graduate,Yes,4986,1495,55,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,4481,0,127,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,3248,2264,63,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,11298,0,31,360,1.0,Urban,Y
Female,No,1,Graduate,No,1828,0,184,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,25658,561,133,360,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,9082,2094,64,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1415,918,108,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4201,4969,193,360,0.0,Urban,N
Male,Yes,2,Graduate,No,4367,1538,118,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,6466,395,131,360,1.0,Semiurban,Y
Female,Yes,2,Not Graduate,Yes,2458,0,116,360,1.0,Semiurban,Y
Female,No,1,Graduate,No,5026,0,104,180,0.0,Semiurban,Y
Female,Yes,3+,Graduate,No,4515,2307,103,360,1.0,Urban,Y
Female,Yes,0,Not Graduate,No,2932,1083,102,180,1.0,Rural,Y
Male,Yes,1,Graduate,No,2660,1006,94,360,1.0,Rural,Y
Female,No,1,Graduate,No,9350,0,80,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,1498,1218,118,120,1.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,6867,768,101,360,0.0,Urban,N
Male,Yes,1,Graduate,No,8589,4769,78,240,1.0,Rural,Y
Male,Yes,0,Graduate,No,4217,0,235,240,1.0,Semiurban,Y
Male,No,0,Graduate,No,5098,2043,310,240,1.0,Semiurban,Y
Male,No,0,Graduate,No,11097,1908,148,360,0.0,Urban,Y
Female,Yes,1,Graduate,No,3000,4654,154,180,1.0,Rural,Y
Male,Yes,0,Graduate,No,3225,5374,97,240,1.0,Urban,Y
Male,No,0,Graduate,No,3474,3626,281,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,11111,0,421,120,1.0,Urban,Y
Male,Yes,2,Graduate,No,12144,633,134,360,1.0,Urban,Y
Female,Yes,2,Graduate,No,1849,620,108,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,9940,0,182,360,1.0,Rural,Y
Female,Yes,3+,Not Graduate,No,8718,0,160,480,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,No,14581,1945,109,180,1.0,Urban,Y
Male,No,2,Graduate,No,6435,4309,196,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,4764,4928,260,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,10956,0,92,360,1.0,Urban,Y
Female,No,3+,Not Graduate,No,8016,1866,682,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,23657,1784,59,240,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,9615,1302,89,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5472,1059,170,360,0.0,Rural,Y
Male,Yes,0,Graduate,No,2160,5912,571,360,1.0,Rural,Y
Male,Yes,3+,Graduate,No,3272,0,105,480,1.0,Rural,Y
Female,Yes,1,Graduate,No,1798,1831,78,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,4227,810,206,360,1.0,Urban,Y
Male,No,1,Graduate,No,9397,0,127,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,4902,661,221,360,0.0,Rural,N
Male,Yes,0,Graduate,Yes,10048,0,142,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,6224,2928,88,240,1.0,Semiurban,Y
Female,No,2,Not Graduate,No,3706,1196,607,360,0.0,Rural,N
Male,Yes,0,Graduate,Yes,5225,2484,25,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,6839,2176,442,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,5417,1738,259,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5461,1831,94,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,2868,1923,456,480,1.0,Urban,Y
Female,No,0,Graduate,No,3629,2058,65,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,23883,1920,271,240,1.0,Urban,Y
Female,Yes,2,Graduate,No,11613,599,42,120,1.0,Rural,Y
Male,Yes,0,Graduate,No,1751,0,74,360,1.0,Urban,Y
Male,No,1,Graduate,No,937,2356,74,360,1.0,Urban,Y
Male,Yes,2,Graduate,No,5184,0,94,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,9185,4692,149,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3415,0,90,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,10048,757,43,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,Yes,5124,0,195,240,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4384,0,152,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,8343,1800,189,360,1.0,Rural,Y
Female,Yes,2,Not Graduate,No,3386,1802,164,360,1.0,Urban,Y
Male,Yes,0,Not Graduate,Yes,4021,3332,263,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,7856,0,141,360,1.0,Rural,Y
Female,Yes,1,Graduate,No,4807,6189,272,360,1.0,Semiurban,Y
